invoice_id,entity,partner,amount,date,open_amt
0,TUG_NL,Customer_09 Corp,3535.24,2025-07-16,3535.24
2,TUG_US,Customer_02 Corp,3429.2,2025-07-24,3429.2
4,TUG_UK,Customer_03 Corp,2327.25,2025-10-06,2327.25
9,TUG_US,Customer_05 Corp,4349.36,2025-10-14,4349.36
10,TUG_UK,Customer_01 Corp,7967.32,2025-06-12,7967.32
11,TUG_UK,Customer_04 Corp,6523.67,2025-06-13,6523.67
13,TUG_UK,Customer_02 Corp,2243.52,2025-10-15,2243.52
14,TUG_US,Customer_09 Corp,7386.98,2025-08-09,7386.98
16,TUG_US,Customer_06 Corp,3541.68,2025-09-11,3541.68
18,TUG_US,Customer_01 Corp,2182.79,2025-10-03,2182.79
20,TUG_NL,Customer_09 Corp,3260.48,2025-09-06,3260.48
22,TUG_NL,Customer_01 Corp,7701.58,2025-08-24,7701.58
24,TUG_UK,Customer_06 Corp,4474.09,2025-05-24,4474.09
27,TUG_UK,Customer_02 Corp,6712.56,2025-11-09,6712.56
28,TUG_NL,Customer_07 Corp,4074.23,2025-08-30,4074.23
29,TUG_NL,Customer_05 Corp,7422.83,2025-07-15,7422.83
30,TUG_US,Customer_10 Corp,7504.0,2025-09-11,7504.0
31,TUG_US,Customer_08 Corp,6368.1,2025-07-17,6368.1
34,TUG_NL,Customer_04 Corp,1509.82,2025-05-27,1509.82
36,TUG_UK,Customer_02 Corp,7298.36,2025-11-09,7298.36
40,TUG_US,Customer_03 Corp,6121.92,2025-11-05,6121.92
43,TUG_NL,Customer_06 Corp,3964.84,2025-05-22,3964.84
44,TUG_UK,Customer_03 Corp,5175.66,2025-10-30,5175.66
46,TUG_NL,Customer_03 Corp,2656.04,2025-05-25,2656.04
47,TUG_NL,Customer_04 Corp,7562.27,2025-05-18,7562.27
49,TUG_US,Customer_10 Corp,6110.29,2025-09-22,6110.29
51,TUG_NL,Customer_10 Corp,2838.49,2025-09-27,2838.49
53,TUG_US,Customer_05 Corp,279.53,2025-05-31,279.53
55,TUG_US,Customer_03 Corp,2747.3,2025-09-03,2747.3
59,TUG_UK,Customer_04 Corp,6128.48,2025-08-06,6128.48
