entity,direction,amount,date
TUG_US,out,6536.69,2025-06-19
TUG_UK,in,8300.36,2025-08-17
TUG_NL,in,2844.69,2025-05-21
TUG_US,in,3720.8,2025-05-24
TUG_NL,in,6137.31,2025-05-26
TUG_NL,in,801.73,2025-08-11
TUG_NL,in,4437.37,2025-09-06
TUG_US,out,6575.11,2025-08-06
TUG_NL,in,5769.9,2025-08-26
TUG_UK,out,4937.53,2025-06-30
TUG_NL,in,8789.61,2025-07-23
TUG_UK,out,661.1,2025-06-24
TUG_UK,out,3588.14,2025-09-17
TUG_NL,in,1858.61,2025-08-25
TUG_NL,out,5558.82,2025-08-18
TUG_US,in,5720.97,2025-06-13
TUG_NL,in,2364.7,2025-10-30
TUG_NL,in,4710.39,2025-09-24
TUG_US,in,2704.2,2025-06-28
TUG_UK,in,3833.19,2025-08-16
TUG_US,out,8546.59,2025-09-10
TUG_NL,out,4091.69,2025-07-19
TUG_US,in,5110.9,2025-09-10
TUG_US,out,1826.75,2025-09-29
TUG_UK,in,6994.89,2025-10-08
TUG_US,in,5857.68,2025-09-18
TUG_NL,out,5156.52,2025-11-11
TUG_UK,in,3352.28,2025-06-02
TUG_US,in,369.96,2025-05-27
TUG_NL,out,4403.24,2025-07-11
TUG_NL,out,876.63,2025-11-06
TUG_UK,in,5521.88,2025-06-17
TUG_UK,out,2733.82,2025-10-02
TUG_NL,out,873.41,2025-10-09
TUG_UK,in,5072.3,2025-10-17
TUG_NL,out,4965.21,2025-06-08
TUG_US,out,4864.38,2025-09-08
TUG_UK,in,8015.45,2025-07-02
TUG_NL,in,3132.08,2025-05-23
TUG_UK,out,7711.51,2025-08-19
TUG_US,out,6862.25,2025-07-25
TUG_UK,in,1563.8,2025-07-09
TUG_US,in,4095.23,2025-05-21
TUG_UK,out,7270.98,2025-06-19
TUG_US,out,4471.99,2025-07-01
TUG_UK,out,1146.65,2025-08-05
TUG_US,in,1322.27,2025-09-30
TUG_NL,out,2445.22,2025-10-19
TUG_US,out,8039.44,2025-10-12
TUG_UK,out,4876.08,2025-05-30
TUG_US,in,5923.52,2025-09-26
TUG_US,out,6209.27,2025-06-06
TUG_UK,out,1281.98,2025-06-17
TUG_NL,out,5578.48,2025-06-15
TUG_UK,out,112.25,2025-10-04
TUG_UK,in,6262.4,2025-09-06
TUG_NL,in,937.03,2025-10-24
TUG_NL,in,950.81,2025-07-10
TUG_NL,in,1467.37,2025-07-12
TUG_NL,in,4693.31,2025-05-18
TUG_NL,out,7686.1,2025-08-17
TUG_UK,in,6161.36,2025-09-07
TUG_NL,in,912.57,2025-09-06
TUG_NL,out,3124.86,2025-07-08
TUG_UK,in,8483.22,2025-07-22
TUG_NL,in,2668.04,2025-07-23
TUG_UK,out,7508.58,2025-07-04
TUG_NL,out,5660.37,2025-06-14
TUG_NL,in,7285.72,2025-08-02
TUG_US,in,5758.15,2025-08-15
TUG_US,out,5108.49,2025-09-21
TUG_UK,in,2546.95,2025-09-06
TUG_NL,out,1970.83,2025-11-06
TUG_NL,in,4575.65,2025-10-24
TUG_US,in,3797.87,2025-09-25
TUG_NL,in,1865.22,2025-08-15
TUG_NL,in,738.15,2025-08-28
TUG_UK,out,3180.63,2025-07-16
TUG_US,out,1572.89,2025-07-02
TUG_UK,out,7757.97,2025-10-26
